,Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1
0,1,Avengers: Endgame,"$2,797,800,564","$858,373,000",30.7%,"$1,939,427,564",69.3%
1,2,The Lion King,"$1,656,943,394","$543,638,043",32.8%,"$1,113,305,351",67.2%
2,3,Frozen II,"$1,448,824,988","$477,045,566",32.9%,"$971,779,422",67.1%
3,4,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%
4,5,Captain Marvel,"$1,128,274,794","$426,829,839",37.8%,"$701,444,955",62.2%
5,6,Joker,"$1,073,943,334","$335,443,334",31.2%,"$738,500,000",68.8%
6,7,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%
7,8,Star Wars: Episode IX - The Rise of Skywalker,"$1,073,294,598","$514,718,318",48%,"$558,576,280",52%
8,9,Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%
9,10,Jumanji: The Next Level,"$791,086,138","$313,943,814",39.7%,"$477,142,324",60.3%
10,11,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935","$173,956,935",22.9%,"$585,100,000",77.1%
11,12,Ne Zha,"$726,063,471","$3,695,533",0.5%,"$722,367,938",99.5%
12,13,The Wandering Earth,"$699,760,773","$5,875,487",0.8%,"$693,885,286",99.2%
13,14,How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",30.8%,"$361,000,000",69.2%
14,15,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.2%,"$377,800,484",76.8%
15,16,It Chapter Two,"$473,093,228","$211,593,228",44.7%,"$261,500,000",55.3%
16,17,"My People, My Country","$450,064,993","$2,356,683",0.5%,"$447,708,310",99.5%
17,18,Pokémon Detective Pikachu,"$433,005,346","$144,105,346",33.3%,"$288,900,000",66.7%
18,19,The Secret Life of Pets 2,"$430,051,293","$158,874,395",36.9%,"$271,176,898",63.1%
19,20,The Captain,"$416,953,262","$706,572",0.2%,"$416,246,690",99.8%
20,21,Alita: Battle Angel,"$404,852,543","$85,710,210",21.2%,"$319,142,333",78.8%
21,22,Godzilla: King of the Monsters,"$386,600,138","$110,500,138",28.6%,"$276,100,000",71.4%
22,23,Once Upon a Time... in Hollywood,"$374,341,301","$142,502,728",38.1%,"$231,838,573",61.9%
23,24,Shazam!,"$365,971,656","$140,371,656",38.4%,"$225,600,000",61.6%
24,25,1917,"$362,628,024","$156,128,024",43.1%,"$206,500,000",56.9%
25,26,Dumbo,"$353,284,621","$114,766,307",32.5%,"$238,518,314",67.5%
26,27,John Wick: Chapter 3 - Parabellum,"$326,709,727","$171,015,687",52.3%,"$155,694,040",47.7%
27,28,Knives Out,"$307,687,554","$164,698,675",53.5%,"$142,988,879",46.5%
28,29,Terminator: Dark Fate,"$261,119,292","$62,253,077",23.8%,"$198,866,215",76.2%
29,30,Us,"$255,184,580","$175,084,580",68.6%,"$80,100,000",31.4%
30,31,Men in Black: International,"$253,890,701","$80,001,807",31.5%,"$173,888,894",68.5%
31,32,X-Men: Dark Phoenix,"$252,442,974","$65,845,974",26.1%,"$186,597,000",73.9%
32,33,Glass,"$246,999,039","$111,048,468",45%,"$135,950,571",55%
33,34,The Bravest,"$245,179,562","$290,217",0.1%,"$244,889,345",99.9%
34,35,Parasite,"$232,076,982","$51,609,136",22.2%,"$180,467,846",77.8%
35,36,Annabelle Comes Home,"$231,252,591","$74,152,591",32.1%,"$157,100,000",67.9%
36,37,Ford v Ferrari,"$225,398,098","$117,514,245",52.1%,"$107,883,853",47.9%
37,38,Better Days,"$225,320,294","$1,921,657",0.9%,"$223,398,637",99.1%
38,39,Little Women,"$203,074,701","$107,674,701",53%,"$95,400,000",47%
39,40,The Addams Family,"$203,044,905","$100,044,905",49.3%,"$103,000,000",50.7%
40,41,Rocketman,"$195,179,299","$96,368,160",49.4%,"$98,811,139",50.6%
41,42,Downton Abbey,"$194,111,262","$96,854,135",49.9%,"$97,257,127",50.1%
42,43,The Lego Movie 2: The Second Part,"$192,306,508","$105,806,508",55%,"$86,500,000",45%
43,44,Abominable,"$189,805,347","$60,716,390",32%,"$129,088,957",68%
44,45,The White Storm 2: Drug Lords,"$189,396,380","$609,461",0.3%,"$188,786,919",99.7%
45,46,Weathering with You,"$186,894,545","$7,778,682",4.2%,"$179,115,863",95.8%
46,47,Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%
47,48,Spies in Disguise,"$170,761,448","$66,451,655",38.9%,"$104,309,793",61.1%
48,49,Hustlers,"$157,563,598","$104,963,598",66.6%,"$52,600,000",33.4%
49,50,The Climbers,"$156,759,167","$487,157",0.3%,"$156,272,010",99.7%
50,51,Escape Room,"$155,712,077","$57,005,601",36.6%,"$98,706,476",63.4%
51,52,The Angry Birds Movie 2,"$154,674,930","$41,667,116",26.9%,"$113,007,814",73.1%
52,53,Yesterday,"$153,712,841","$73,286,650",47.7%,"$80,426,191",52.3%
53,54,Angel Has Fallen,"$147,501,990","$69,030,436",46.8%,"$78,471,554",53.2%
54,55,Ad Astra,"$132,807,427","$50,188,370",37.8%,"$82,619,057",62.2%
55,56,The Upside,"$125,852,517","$108,252,517",86%,"$17,600,000",14%
56,57,Midway,"$125,697,207","$56,846,802",45.2%,"$68,850,405",54.8%
57,58,The Curse of la Llorona,"$123,133,739","$54,733,739",44.5%,"$68,400,000",55.5%
