,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/pVGzV02qmHVoKx9ehBNy7m2u5fs.jpg,"[35, 18, 10749]",19404,hi,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",21.867,/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,1995-10-20,Dilwale Dulhania Le Jayenge,False,8.8,2214
1,False,/65nAfGikljrOkfIrcfmrNTJTAXF.jpg,"[18, 80]",278,en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",36.004,/9O7gLzmreU0nGkIB6K3BsJbzvNv.jpg,1994-09-23,The Shawshank Redemption,False,8.7,15047
2,False,/6xKCYgH16UuwEGAyroLU6p8HLIn.jpg,"[80, 18]",238,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",29.365,/d4KNaTrltq6bpkFS01pYtyXa09m.jpg,1972-03-14,The Godfather,False,8.7,11487
3,False,/TU9NIjwzjoKPwQHoHshkFcQUCG.jpg,"[35, 18, 53]",496243,ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",148.987,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,2019-05-30,Parasite,False,8.6,4756
4,False,/cTNYRUTXkBgPH3wP3kmPUB5U6dA.jpg,"[18, 36, 10752]",424,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,23.746,/yPisjyLweCl1tbgwgtzBCNCBle.jpg,1993-11-30,Schindler's List,False,8.6,9163
5,False,/gLbBRyS7MBrmVUNce91Hmx9vzqI.jpg,"[80, 18]",240,en,The Godfather: Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",21.992,/bVq65huQ8vHDd1a4Z37QtuyEvpA.jpg,1974-12-20,The Godfather: Part II,False,8.5,6754
6,False,/7OMAfDJikBxItZBIug0NJig5DHD.jpg,"[16, 18, 10749]",372058,ja,君の名は。,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",33.007,/xq1Ugd62d23K2knRUx6xxuALTZB.jpg,2016-08-26,Your Name.,False,8.5,5018
7,False,/mnpRKVSXBX6jb56nabvmGKA0Wig.jpg,"[16, 14, 10751]",129,ja,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",39.522,/oRvMaJOmapypFUcQqpgHMZA6qL9.jpg,2001-07-20,Spirited Away,False,8.5,8569
8,False,/Rlt20sEbOQKPVjia7lUilFm49W.jpg,"[14, 18, 80]",497,en,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",22.835,/sOHqdY1RnSn6kcfAHKu28jvTebE.jpg,1999-12-10,The Green Mile,False,8.5,9500
9,False,/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg,"[80, 53]",680,en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",33.662,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,1994-09-10,Pulp Fiction,False,8.5,17549
