,Date,Name,Budget
0,"Jan 16, 2009",Defiance," $50,000,000"
1,"Feb 9, 2007",Hannibal Rising," $50,000,000"
2,"Oct 15, 1999",The Story of Us," $50,000,000"
3,"Mar 22, 2013",The Host," $50,000,000"
4,"Mar 28, 2003",Basic," $50,000,000"
5,"Mar 11, 2015",Run All Night," $50,000,000"
6,"Aug 9, 2002",Blood Work," $50,000,000"
7,"Feb 13, 2009",The International," $50,000,000"
8,"Aug 9, 1996",Escape from L.A.," $50,000,000"
9,"Feb 27, 2004",Twisted," $50,000,000"
10,"Dec 25, 2017",All the Money in the World," $50,000,000"
11,"Dec 10, 2004",The Life Aquatic with Steve Zissou," $50,000,000"
12,"Aug 4, 1999",The Iron Giant," $50,000,000"
13,"Apr 10, 2019",Hellboy," $50,000,000"
14,"Apr 8, 2011",Your Highness," $50,000,000"
15,"Dec 30, 2015",Snowden," $50,000,000"
16,"Sep 30, 2011",Dream House," $50,000,000"
17,"Jun 24, 2016",Free State of Jones," $50,000,000"
18,"Sep 4, 2009",Gamer," $50,000,000"
19,"Feb 25, 2005",Man of the House," $50,000,000"
20,"Feb 21, 2003",The Life of David Gale," $50,000,000"
21,"Feb 14, 2013",Beautiful Creatures," $50,000,000"
22,"Sep 30, 2005",Into the Blue," $50,000,000"
23,"Sep 14, 2007",Eastern Promises," $50,000,000"
24,"Jul 1, 1994",Baby's Day Out," $50,000,000"
25,"Nov 12, 1999",The Messenger: The Story of Joan of Arc," $50,000,000"
26,"Nov 3, 1995",Fair Game," $50,000,000"
27,"Feb 25, 2011",Drive Angry," $50,000,000"
28,"Nov 7, 1997",Mad City," $50,000,000"
29,"Oct 13, 1995",The Scarlet Letter," $50,000,000"
30,"Oct 14, 2005",Domino," $50,000,000"
31,"Oct 13, 1995",Jade," $50,000,000"
32,"Feb 27, 2009",Street Fighter: The Legend of Chun-Li," $50,000,000"
33,"Mar 29, 2002",Death to Smoochy," $50,000,000"
34,"Jan 26, 2018",Early Man," $50,000,000"
35,"Nov 13, 2009",The Boat That Rocked," $50,000,000"
36,"Jan 30, 2004",The Big Bounce," $50,000,000"
37,"Mar 3, 2000",What Planet Are You From?," $50,000,000"
38,"Feb 1, 2019",Liu Lang Di Qiu," $50,000,000"
39,"Nov 1, 2019",Arctic Dogs," $50,000,000"
40,"Jan 31, 2020",The Rhythm Section," $50,000,000"
41,"Apr 17, 2015",Child 44," $50,000,000"
42,"Jan 23, 2009",Outlander," $50,000,000"
43,"Aug 23, 2012",Upside Down," $50,000,000"
44,"Sep 7, 2012",Shanghai," $50,000,000"
45,Unknown,Hannibal the Conqueror," $50,000,000"
46,"Aug 8, 2019",Dora and the Lost City of Gold," $49,000,000"
47,"Nov 2, 2001",The One," $49,000,000"
48,"Mar 4, 2015",Chappie," $49,000,000"
49,"Jul 11, 1990",The Adventures of Ford Fairlane," $49,000,000"
50,"Sep 7, 2012",Anna Karenina," $49,000,000"
51,"May 24, 1989",Indiana Jones and the Last Crusade," $48,000,000"
52,"Oct 18, 2002",The Ring," $48,000,000"
53,"Dec 27, 2000",Traffic," $48,000,000"
54,"Mar 29, 2002",Panic Room," $48,000,000"
55,"Jan 2, 2015",Taken 3," $48,000,000"
56,"Oct 9, 2019",Zombieland: Double Tap," $48,000,000"
57,"Aug 6, 1999",The Thomas Crown Affair," $48,000,000"
58,"Nov 16, 2018",Instant Family," $48,000,000"
59,"Nov 5, 1999",The Bone Collector," $48,000,000"
60,"Oct 1, 1999",Three Kings," $48,000,000"
61,"Jan 22, 2010",Tooth Fairy," $48,000,000"
62,"Aug 17, 2001",Rat Race," $48,000,000"
63,"Sep 7, 2007",3:10 to Yuma," $48,000,000"
64,"Aug 13, 2001",K-PAX," $48,000,000"
65,"Dec 25, 2001",Kate and Leopold," $48,000,000"
66,"Oct 20, 2000",Bedazzled," $48,000,000"
67,"Jun 26, 1998",Out of Sight," $48,000,000"
68,"Dec 14, 1984",The Cotton Club," $48,000,000"
