,Date,Name,Budget
0,"Nov 16, 2007",Beowulf," $150,000,000"
1,"May 9, 2012",Dark Shadows," $150,000,000"
2,"Jun 28, 2013",White House Down," $150,000,000"
3,"Feb 12, 2010",The Wolfman," $150,000,000"
4,"Dec 15, 2016",The Great Wall," $150,000,000"
5,"Sep 25, 2015",Pan," $150,000,000"
6,"Mar 11, 2011",Mars Needs Moms," $150,000,000"
7,Unknown,Moonfall," $150,000,000"
8,"Nov 3, 2006",Flushed Away," $149,000,000"
9,"Jun 8, 2012",Madagascar 3: Europe's Most Wanted," $145,000,000"
10,"Dec 14, 2011",Mission: ImpossibleâGhost Protocol," $145,000,000"
11,"Jun 5, 2014",How to Train Your Dragon 2," $145,000,000"
12,"Jun 16, 1999",Tarzan," $145,000,000"
13,"Feb 20, 2014",Mr. Peabody & Sherman," $145,000,000"
14,"Nov 20, 2012",Rise of the Guardians," $145,000,000"
15,"Apr 8, 2005",Sahara," $145,000,000"
16,"Jul 13, 2016",Ghostbusters," $144,000,000"
17,"Nov 22, 2002",Die Another Day," $142,000,000"
18,"Jul 9, 2003",Pirates of the Caribbean: The Curse of the Blac…," $140,000,000"
19,"May 8, 2009",Star Trek," $140,000,000"
20,"Jul 1, 1998",Armageddon," $140,000,000"
21,"Jul 3, 2002",Men in Black 2," $140,000,000"
22,"Jul 22, 2011",Captain America: The First Avenger," $140,000,000"
23,"Jan 23, 2016",Kung Fu Panda 3," $140,000,000"
24,"Jul 10, 1998",Lethal Weapon 4," $140,000,000"
25,"Mar 27, 2013",G.I. Joe: Retaliation," $140,000,000"
26,"Dec 5, 2003",The Last Samurai," $140,000,000"
27,"Dec 21, 2005",Fun With Dick And Jane," $140,000,000"
28,"Dec 5, 2014",Exodus: Gods and Kings," $140,000,000"
29,"Jun 30, 2016",The BFG," $140,000,000"
30,"Oct 3, 2019",Gemini Man," $140,000,000"
31,"Feb 24, 2016",Gods of Egypt," $140,000,000"
32,"Jun 26, 2020",Top Gun: Maverick," $140,000,000"
33,"May 3, 2002",Spider-Man," $139,000,000"
34,"Mar 6, 2009",Watchmen," $138,000,000"
35,"Jul 29, 2005",Stealth," $138,000,000"
