,title,adult,genre_ids,original_language,popularity,release_date,vote_average,vote_count,Date,Budget,Rank,Worldwide,Domestic,%,Foreign,%.1,Title
0,'85: The Greatest Team in Football History,,,,,,,,,,606.0,"$124,573","$124,573",100%,-,-,'85: The Greatest Team in Football History
1,*batteries not included,False,"[Comedy, Family, Science Fiction, Fantasy]",en,11.802,1987-12-18,6.5,385.0,,,,,,,,,*batteries not included
2,10,False,"[Comedy, Romance]",en,7.937,1979-10-04,5.7,116.0,,,,,,,,,10
3,10 Cloverfield Lane,,,,,,,,,,73.0,"$110,216,998","$72,082,998",65.4%,"$38,134,000",34.6%,10 Cloverfield Lane
4,10 Days in a Madhouse,,,,,,,,,,628.0,"$14,616","$14,616",100%,-,-,10 Days in a Madhouse
5,10 Things I Hate About You,False,"[Comedy, Romance, Drama]",en,20.88,1999-03-30,7.5,4637.0,,,,,,,,,10 Things I Hate About You
6,"10,000 B.C.",,,,,,,,"Mar 7, 2008"," $105,000,000",," $269,065,678"," $94,784,201",,,,"10,000 B.C."
7,"10,000 BC",False,"[Action, Adventure, Drama, Fantasy]",en,13.332,2008-02-22,5.3,1834.0,,,,,,,,,"10,000 BC"
8,100 Acres of Hell,,,,,,,,,,652.0,"$5,152","$5,152",100%,-,-,100 Acres of Hell
9,101 Dalmatians,False,"[Comedy, Family]",en,11.639000000000001,1996-11-17,5.8,1980.0,,,,,,,,,101 Dalmatians
10,102 Dalmatians,,,,,,,,"Nov 22, 2000"," $85,000,000",," $66,941,559"," $66,941,559",,,,102 Dalmatians
11,102 Not Out,,,,,,,,,,177.0,"$16,758,596","$1,343,797",8%,"$15,414,799",92%,102 Not Out
12,10E,,,,,,,,,,565.0,"$32,413","$32,413",100%,-,-,10E
13,10x10,,,,,,,,,,667.0,"$68,260","$2,263",3.3%,"$65,997",96.7%,10x10
14,12 Angry Men,False,[Drama],en,20.325,1957-04-10,8.4,4362.0,,,,,,,,,12 Angry Men
15,12 Days,,,,,,,,,,382.0,"$722,049","$5,204",0.7%,"$716,845",99.3%,12 Days
16,12 Strong,,,,,,,,"Jan 16, 2018"," $35,000,000",91.0,"$67,450,815","$45,819,713",67.9%,"$21,631,102",32.1%,12 Strong
17,12 Years a Slave,False,"[Drama, History]",en,25.706999999999997,2013-10-18,7.9,7457.0,,,,,,,,,12 Years a Slave
18,13 Assassins,False,"[Adventure, Drama, Action]",ja,8.111,2010-09-09,7.3,580.0,,,,,,,,,13 Assassins
19,13 Going On 30,,,,,,,,"Apr 23, 2004"," $37,000,000",," $97,658,712"," $57,139,723",,,,13 Going On 30
20,13 Hours,,,,,,,,,,93.0,"$69,411,370","$52,853,219",76.1%,"$16,558,151",23.9%,13 Hours
