,id,film,revenue,genres,vote_count,vote_average,release_date,original_language,orijinal_title,popularity
0,299534,Avengers: Endgame,2797800564,"[28, 12, 878]",11378,8.3,2019-04-24,en,Avengers: Endgame,39.839
1,420818,The Lion King,1656943394,"[12, 10751]",4577,7.1,2019-07-12,en,The Lion King,47.264
2,330457,Frozen II,1330764959,"[12, 16, 10751]",2591,7.0,2019-11-20,en,Frozen II,127.227
3,429617,Spider-Man: Far from Home,1131450163,"[28, 12, 878]",6121,7.5,2019-06-28,en,Spider-Man: Far from Home,52.388
4,299537,Captain Marvel,1128274794,"[28, 12, 878]",8387,7.0,2019-03-06,en,Captain Marvel,40.323
5,475557,Joker,1073698955,"[80, 18, 53]",9521,8.2,2019-10-02,en,Joker,98.211
6,301528,Toy Story 4,1073394593,"[12, 16, 35, 14, 10751]",3771,7.5,2019-06-19,en,Toy Story 4,34.046
7,181812,Star Wars: The Rise of Skywalker,1058056021,"[28, 12, 878]",3051,6.5,2019-12-18,en,Star Wars: The Rise of Skywalker,54.99
8,420817,Aladdin,1047612394,"[12, 35, 14, 10749, 10751]",4927,7.0,2019-05-22,en,Aladdin,48.212
9,384018,Fast & Furious Presents: Hobbs & Shaw,760098996,"[28, 12, 35]",2620,6.6,2019-08-01,en,Fast & Furious Presents: Hobbs & Shaw,42.665
10,615453,Ne Zha,686067000,"[16, 35, 14]",30,7.4,2019-07-26,zh,哪吒之魔童降世,23.493
11,166428,How to Train Your Dragon: The Hidden World,517526875,"[12, 16, 10751]",3086,7.7,2019-01-03,en,How to Train Your Dragon: The Hidden World,34.495
12,420809,Maleficent: Mistress of Evil,491570967,"[12, 14, 10751]",1961,7.2,2019-10-16,en,Maleficent: Mistress of Evil,51.865
13,474350,It Chapter Two,472093228,"[18, 14, 27]",3245,6.8,2019-09-04,en,It Chapter Two,33.304
14,447404,Pokémon Detective Pikachu,431605346,"[28, 12, 14]",3248,6.9,2019-05-03,en,Pokémon Detective Pikachu,32.167
15,399579,Alita: Battle Angel,404852543,"[28, 12, 878, 53]",4329,6.9,2019-01-31,en,Alita: Battle Angel,35.214
16,373571,Godzilla: King of the Monsters,385900138,"[878, 28]",2107,6.2,2019-05-29,en,Godzilla: King of the Monsters,32.712
17,466272,Once Upon a Time… in Hollywood,374251247,"[35, 18, 53]",4841,7.5,2019-07-25,en,Once Upon a Time… in Hollywood,55.335
18,287947,Shazam!,363533271,"[28, 35, 14]",4374,7.0,2019-03-29,en,Shazam!,30.909
19,458156,John Wick: Chapter 3 - Parabellum,326699296,"[28, 80, 53]",3943,7.1,2019-05-15,en,John Wick: Chapter 3 - Parabellum,44.085
0,299536,Avengers: Infinity War,2046239637,"[28, 12, 878]",16888,8.3,2018-04-25,en,Avengers: Infinity War,83.956
1,284054,Black Panther,1346739107,"[28, 12, 14, 878]",14330,7.4,2018-02-13,en,Black Panther,34.973
2,351286,Jurassic World: Fallen Kingdom,1303459585,"[28, 12, 878]",6975,6.5,2018-06-06,en,Jurassic World: Fallen Kingdom,26.156
3,260513,Incredibles 2,1241891456,"[28, 12, 16, 10751]",7708,7.5,2018-06-14,en,Incredibles 2,28.622
4,297802,Aquaman,1143689193,"[28, 12, 14]",7978,6.8,2018-12-07,en,Aquaman,26.315
5,517141,In The Mood For Surrealism or 8021,1000000000,"[28, 18, 35, 99]",0,0.0,2018-04-24,en,In The Mood For Surrealism or 8021,0.6
6,424694,Bohemian Rhapsody,894027543,"[18, 10402]",10027,8.0,2018-10-24,en,Bohemian Rhapsody,32.503
7,335983,Venom,855013954,"[28, 878]",8013,6.6,2018-09-28,en,Venom,27.318
8,353081,Mission: Impossible - Fallout,791017452,"[28, 12]",4646,7.3,2018-07-13,en,Mission: Impossible - Fallout,29.138
