,id,film,revenue,genres,vote_count,vote_average,release_date,original_language,orijinal_title,popularity
0,19404,Dilwale Dulhania Le Jayenge,100000000,"[35, 18, 10749]",2214,8.8,1995-10-20,hi,दिलवाले दुल्हनिया ले जायेंगे,21.867
1,278,The Shawshank Redemption,28341469,"[18, 80]",15047,8.7,1994-09-23,en,The Shawshank Redemption,36.004
2,238,The Godfather,245066411,"[80, 18]",11487,8.7,1972-03-14,en,The Godfather,29.365
3,496243,Parasite,201055038,"[35, 18, 53]",4756,8.6,2019-05-30,ko,기생충,148.987
4,424,Schindler's List,321365567,"[18, 36, 10752]",9163,8.6,1993-11-30,en,Schindler's List,23.746
5,240,The Godfather: Part II,102600000,"[80, 18]",6754,8.5,1974-12-20,en,The Godfather: Part II,21.992
6,372058,Your Name.,357986087,"[16, 18, 10749]",5018,8.5,2016-08-26,ja,君の名は。,33.007
7,129,Spirited Away,274925095,"[16, 14, 10751]",8569,8.5,2001-07-20,ja,千と千尋の神隠し,39.522
8,497,The Green Mile,286801374,"[14, 18, 80]",9500,8.5,1999-12-10,en,The Green Mile,22.835
9,680,Pulp Fiction,214179088,"[80, 53]",17549,8.5,1994-09-10,en,Pulp Fiction,33.662
10,637,Life Is Beautiful,229400000,"[35, 18]",8243,8.5,1997-12-20,it,La vita è bella,18.861
11,13,Forrest Gump,677387716,"[35, 18, 10749]",16934,8.4,1994-07-06,en,Forrest Gump,28.383
12,155,The Dark Knight,1004558444,"[28, 80, 18, 53]",21095,8.4,2008-07-16,en,The Dark Knight,31.704
13,122,The Lord of the Rings: The Return of the King,1118888979,"[28, 12, 14]",14704,8.4,2003-12-01,en,The Lord of the Rings: The Return of the King,30.435
14,346,Seven Samurai,271841,"[28, 18]",1727,8.4,1954-04-26,ja,七人の侍,17.811
15,311,Once Upon a Time in America,5300000,"[18, 80]",2671,8.4,1984-05-23,en,Once Upon a Time in America,24.006
16,769,GoodFellas,46836394,"[18, 80]",6735,8.4,1990-09-12,en,GoodFellas,24.381
17,40096,A Dog's Will,0,"[12, 35]",568,8.4,2000-09-15,pt,O Auto da Compadecida,9.109
18,539,Psycho,32000000,"[18, 27, 53]",5795,8.4,1960-06-22,en,Psycho,22.367
19,389,12 Angry Men,1000000,[18],4362,8.4,1957-04-10,en,12 Angry Men,20.325
0,429,"The Good, the Bad and the Ugly",25100000,[37],4683,8.4,1966-12-23,it,"Il buono, il brutto, il cattivo",20.43
1,510,One Flew Over the Cuckoo's Nest,108981275,[18],6278,8.4,1975-11-18,en,One Flew Over the Cuckoo's Nest,15.779
2,550,Fight Club,100853753,[18],18248,8.4,1999-10-15,en,Fight Club,36.276
3,324857,Spider-Man: Into the Spider-Verse,375450417,"[28, 12, 16, 35, 878]",6424,8.4,2018-12-06,en,Spider-Man: Into the Spider-Verse,44.866
4,11216,Cinema Paradiso,11990401,"[18, 10749]",2077,8.4,1988-11-17,it,Nuovo Cinema Paradiso,18.8
5,598,City of God,30641770,"[80, 18]",3888,8.4,2002-02-05,pt,Cidade de Deus,16.551
6,579245,The Specials,0,"[35, 18]",216,8.4,2019-10-23,fr,Hors Normes,23.133
7,244786,Whiplash,13092000,"[18, 10402]",9079,8.4,2014-10-10,en,Whiplash,37.415
8,901,City Lights,19181,"[35, 18, 10749]",1051,8.4,1931-02-01,xx,City Lights,13.565
9,599,Sunset Boulevard,5000000,[18],1246,8.4,1950-08-10,en,Sunset Boulevard,15.553
10,12477,Grave of the Fireflies,0,"[16, 18, 10752]",2449,8.4,1988-04-16,ja,火垂るの墓,0.6
11,18491,Neon Genesis Evangelion: The End of Evangelion,20000000,"[18, 878, 16]",483,8.4,1997-07-19,ja,新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,14.879
12,73,American History X,23875127,[18],6868,8.4,1998-10-30,en,American History X,33.809
13,914,The Great Dictator,11000000,[35],1738,8.4,1940-10-15,en,The Great Dictator,14.358
14,432517,Sherlock: The Final Problem,0,"[18, 9648]",764,8.4,2017-01-15,en,Sherlock: The Final Problem,9.468
15,1891,The Empire Strikes Back,538400000,"[28, 12, 878]",10953,8.4,1980-05-20,en,The Empire Strikes Back,21.553
16,3782,Ikiru,55240,[18],459,8.4,1952-10-09,ja,生きる,10.46
17,4935,Howl's Moving Castle,236049757,"[12, 16, 14]",4554,8.4,2004-11-19,ja,ハウルの動く城,24.681
18,18148,Tokyo Story,0,[18],431,8.4,1953-11-03,ja,東京物語,14.974
19,128,Princess Mononoke,159375308,"[12, 16, 14]",4282,8.4,1997-07-12,ja,もののけ姫,21.634
0,11659,The Best of Youth,2693053,"[18, 10749]",261,8.4,2003-06-22,it,La meglio gioventú,8.792
1,508965,Klaus,0,"[12, 16, 35, 10751]",1401,8.3,2019-11-08,en,Klaus,21.418
2,313106,Doctor Who: The Day of the Doctor,0,"[12, 878]",545,8.4,2013-11-23,en,Doctor Who: The Day of the Doctor,11.49
3,567,Rear Window,36764313,"[18, 9648, 53]",3399,8.3,1954-09-01,en,Rear Window,16.323
4,452522,Twin Peaks,0,"[18, 9648, 80]",348,8.3,1989-12-31,en,Twin Peaks,7.736
5,975,Paths of Glory,0,"[18, 10752]",1385,8.3,1957-09-18,en,Paths of Glory,13.525
6,14537,Harakiri,0,"[28, 18, 36]",314,8.3,1962-09-15,ja,切腹,12.599
7,207,Dead Poets Society,235860116,[18],6685,8.3,1989-06-02,en,Dead Poets Society,15.606
8,265177,Mommy,3494070,[18],1620,8.3,2014-05-22,en,Mommy,12.436
9,423,The Pianist,120072577,"[18, 10752]",4791,8.3,2002-09-17,en,The Pianist,17.072
10,10376,The Legend of 1900,0,"[18, 10402, 10749]",1287,8.3,1998-10-28,it,La leggenda del pianista sull'oceano,11.555
11,797,Persona,0,[18],911,8.3,1966-10-18,sv,Persona,15.848
12,12493,High and Low,0,"[80, 18, 9648, 53]",268,8.3,1963-03-01,ja,天国と地獄,10.181
13,20914,My Friends,0,[35],365,8.3,1975-08-15,it,Amici miei,9.195
14,26451,Investigation of a Citizen Above Suspicion,0,"[80, 18]",300,8.3,1970-11-13,it,Indagine su un cittadino al di sopra di ogni sospetto,8.239
15,120,The Lord of the Rings: The Fellowship of the Ring,871368364,"[28, 12, 14]",16105,8.3,2001-12-18,en,The Lord of the Rings: The Fellowship of the Ring,35.596
16,3082,Modern Times,8500000,"[35, 18]",2014,8.3,1936-02-05,en,Modern Times,16.793
17,101,Léon: The Professional,45284974,"[80, 18, 28]",8789,8.3,1994-09-14,en,Léon: The Professional,24.288
18,25237,Come and See,0,"[18, 36, 10752]",412,8.3,1985-07-01,ru,Иди и смотри,13.367
19,807,Se7en,327311859,"[80, 9648, 53]",12154,8.3,1995-09-22,en,Se7en,27.857
0,531428,Portrait of a Lady on Fire,0,"[18, 10749]",337,8.3,2019-06-17,fr,Portrait de la jeune fille en feu,34.005
1,27205,Inception,825532764,"[28, 12, 878]",24665,8.3,2010-07-15,en,Inception,39.57
2,290098,The Handmaiden,37767206,"[18, 53, 10749]",1557,8.3,2016-06-01,ko,아가씨,19.915
3,895,Andrei Rublev,0,"[18, 36]",334,8.3,1966-12-16,ru,Андрей Рублёв,11.583
4,24188,Il Sorpasso,0,"[35, 18]",296,8.3,1962-12-04,it,Il sorpasso,9.018
5,274,The Silence of the Lambs,272742922,"[80, 18, 53, 27]",9659,8.3,1991-02-01,en,The Silence of the Lambs,5.221
6,121,The Lord of the Rings: The Two Towers,926287400,"[12, 14, 28]",13897,8.3,2002-12-18,en,The Lord of the Rings: The Two Towers,29.238
7,335,Once Upon a Time in the West,5321508,[37],2361,8.3,1968-12-21,it,C'era una volta il West,19.355
